id,camera,condition,raw_elbow_wrist_rmse_px,automatic_rigid_elbow_wrist_rmse_px,automatic_stage2_elbow_wrist_rmse_px,historical_manual_elbow_wrist_rmse_px,raw_arms_rmse_px,automatic_rigid_arms_rmse_px,automatic_stage2_arms_rmse_px,historical_manual_arms_rmse_px,raw_body_rmse_px,automatic_rigid_body_rmse_px,automatic_stage2_body_rmse_px,historical_manual_body_rmse_px,raw_all_mapped_rmse_px,automatic_rigid_all_mapped_rmse_px,automatic_stage2_all_mapped_rmse_px,historical_manual_all_mapped_rmse_px
cam3_left_lower_t15.000s_f000895,cam3,condition_01_normal_pose,241.79808642561474,34.74081851792562,13.113163962942986,8.100950241712411,221.19996272559953,85.085037639684,76.9229320544761,94.90962721541102,202.7246652736368,75.33160469390337,64.82656260092763,82.44349628976835,204.18463808061176,74.49292247351555,64.10635511170315,82.73395453756291
cam4_right_lower_t15.000s_f000895,cam4,condition_01_normal_pose,165.1335640215718,32.89221544067421,9.882309239160977,6.181318472427706,157.3971958198017,86.08636277010108,75.49156462871653,98.7931452142505,150.79095006290694,74.38314373197146,67.99425758330703,79.44216296810673,142.98269513508006,70.07804122176003,64.54185986258221,75.85508750019326
cam3_left_lower_t037.000s_f002209,cam3,condition_02_hand_object_interaction,244.41462870624963,43.288635288900615,11.212258471359734,7.783258857773354,219.60234019141723,85.30412567715015,70.58858783496753,93.55070760855428,204.25715065639622,75.16660536044003,56.8836859679875,82.33126106288387,200.4171967485314,73.64087143954278,55.27487535502356,81.26610181579993
cam4_right_lower_t037.000s_f002208,cam4,condition_02_hand_object_interaction,161.533325982623,46.74025096833489,9.030959791006905,4.553743744206831,146.93962024785733,87.95420959728918,64.46778199455565,92.11563889088826,161.13612872793888,84.50405744126712,73.41600126139615,83.5918315204687,161.13612872793888,84.50405744126712,73.41600126139615,83.5918315204687
cam3_left_lower_t45.000s_f002686,cam3,condition_03_hand_object_occlusion,485.39437005215905,407.3613283052542,417.62052756187245,398.66270913659554,405.4293774887083,336.9104290011582,347.4020070135667,331.38452141538767,356.5652251564626,292.6393297296247,301.71506342442564,286.9949757513011,356.5652251564626,292.6393297296247,301.71506342442564,286.9949757513011
cam4_right_lower_t45.000s_f002686,cam4,condition_03_hand_object_occlusion,197.32502276633883,25.149439342843937,8.931370256778498,0.23446203161553064,174.40182820070942,86.64575727767901,44.38020801112847,100.54518223237807,148.25695048997707,68.74505603032675,56.14234987885519,61.3632288952735,143.96664070366884,68.92211528275791,53.52726182593995,63.41739908562674
cam3_left_lower_t35.000s_f002089,cam3,condition_04_failure_case,1898.7220883966863,50.448084146465696,35.48639843314915,0.4360079739549343,1701.042639295063,72.52141154565577,62.635665927112186,66.08684077880267,1159.0398254690363,60.446270615059646,54.22349017256564,77.63206927497802,1113.5708144897308,64.27901302362977,54.98585399310538,89.16046244239296
cam4_right_lower_t35.000s_f002089,cam4,condition_04_failure_case,4078.267336735367,76.9744099359744,42.741630012121384,0.9697532913134437,3159.138260059355,105.36169614839534,72.49132415837633,113.5833535868899,2132.234732650343,98.14075340677915,74.99254010769711,92.41263836556413,2042.0824786303158,101.54260386577816,73.57957358084929,94.29086954859866
