id,condition,camera,baseline_hand_rmse_px,body_only_hand_rmse_px,final_hand_rmse_px
cam3_left_lower_t15.000s_f000895,condition_01_normal_pose,cam3,4.715635998876811,5.326006607664073,5.326006607664073
cam4_right_lower_t15.000s_f000895,condition_01_normal_pose,cam4,5.210909825812363,5.1679708577721994,5.1679708577721994
cam3_left_lower_t037.000s_f002209,condition_02_hand_object_interaction,cam3,5.001659041980714,4.7535709550754905,4.918488174140995
cam4_right_lower_t037.000s_f002208,condition_02_hand_object_interaction,cam4,4.800487999195583,4.455069352682402,4.634287125440369
cam3_left_lower_t45.000s_f002686,condition_03_hand_object_occlusion,cam3,23.572908108035342,23.572908108035342,23.572908108035342
cam4_right_lower_t45.000s_f002686,condition_03_hand_object_occlusion,cam4,39.9067981935684,34.41683600750024,34.14837462052225
cam3_left_lower_t35.000s_f002089,condition_04_failure_case,cam3,3.662417948642316,3.243447932192799,2.8847303318192115
cam4_right_lower_t35.000s_f002089,condition_04_failure_case,cam4,2.6244472993934043,2.680138302304281,2.621383469465787
