id,condition,camera,original_hands,egocentric_strict_hands,original__original_targets_rmse_px,original__egocentric_targets_rmse_px,egocentric_strict__original_targets_rmse_px,egocentric_strict__egocentric_targets_rmse_px,egocentric_fixed_identity__original_targets_rmse_px,egocentric_fixed_identity__egocentric_targets_rmse_px
cam3_left_lower_t15.000s_f000895,condition_01_normal_pose,cam3,2,2,9.676721077006782,12.902193465673271,13.26525229569555,12.724194267860241,13.26525229569555,12.724194267860241
cam4_right_lower_t15.000s_f000895,condition_01_normal_pose,cam4,2,2,9.530615484490527,15.230320217788242,13.302313806496025,16.496721574929307,13.302313806496025,16.496721574929307
cam3_left_lower_t037.000s_f002209,condition_02_hand_object_interaction,cam3,2,2,11.780952397010477,16.007456586467008,14.067036708238426,16.39651285736553,14.067036708238426,16.39651285736553
cam4_right_lower_t037.000s_f002208,condition_02_hand_object_interaction,cam4,2,2,16.114412674906795,23.513003257827172,16.405379531953308,20.53416337969843,16.405379531953308,20.53416337969843
cam3_left_lower_t45.000s_f002686,condition_03_hand_object_occlusion,cam3,1,1,44.62409923194508,62.424124640672574,52.8192015023984,33.22836501425337,52.8192015023984,33.22836501425337
cam4_right_lower_t45.000s_f002686,condition_03_hand_object_occlusion,cam4,2,1,74.62385920839672,68.69356654050686,83.02819044139176,83.68372772630204,128.3880397410598,101.85758113951628
cam3_left_lower_t35.000s_f002089,condition_04_failure_case,cam3,2,2,9.347816929373248,8.83821714907678,11.978367168746374,10.513753030447589,11.978367168746374,10.513753030447589
cam4_right_lower_t35.000s_f002089,condition_04_failure_case,cam4,1,0,27.905849512163535,20.05952926916082,333.80957889574626,320.93561838032275,28.01782070705397,14.996600048928055
